ms_number,cve_number
MS15-001, CVE-2015-0002
MS15-002, CVE-2015-0014
MS15-003, CVE-2015-0004
MS15-004, CVE-2015-0016
MS15-005, CVE-2015-0006
MS15-006, CVE-2015-0001
MS15-007, CVE-2015-0015
MS15-008, CVE-2015-0011
MS15-009, CVE-2015-0017 CVE-2015-0018 CVE-2015-0019 CVE-2015-0020 CVE-2015-0021 CVE-2015-0022 CVE-2015-0023 CVE-2015-0025 CVE-2015-0026 CVE-2015-0027 CVE-2015-0028 CVE-2015-0029 CVE-2015-0030 CVE-2015-0031 CVE-2015-0035 CVE-2015-0036 CVE-2015-0037 CVE-2015-0038 CVE-2015-0039 CVE-2015-0040 CVE-2015-0041 CVE-2015-0042 CVE-2015-0043 CVE-2015-0044 CVE-2015-0045 CVE-2015-0046 CVE-2015-0048 CVE-2015-0049 CVE-2015-0050 CVE-2015-0051 CVE-2015-0052 CVE-2015-0053 CVE-2015-0054 CVE-2015-0055 CVE-2015-0066 CVE-2015-0067 CVE-2015-0068 CVE-2015-0069 CVE-2015-0070 CVE-2015-0071
MS15-010, CVE-2015-0003 CVE-2015-0010 CVE-2015-0057 CVE-2015-0058 CVE-2015-0059 CVE-2015-0060
MS15-011, CVE-2015-0008
MS15-012, CVE-2015-0063 CVE-2015-0064 CVE-2015-0065
MS15-013, CVE-2014-6362
MS15-014, CVE-2015-0009
MS15-015, CVE-2015-0062
MS15-016, CVE-2015-0061
MS15-017, CVE-2015-0012
MS15-018, CVE-2015-0032 CVE-2015-0056 CVE-2015-0072 CVE-2015-0099 CVE-2015-0100 CVE-2015-1622 CVE-2015-1623 CVE-2015-1624 CVE-2015-1625 CVE-2015-1626 CVE-2015-1627 CVE-2015-1634
MS15-019, CVE-2015-0032
MS15-020, CVE-2015-0081 CVE-2015-0096
MS15-021, CVE-2015-0074 CVE-2015-0087 CVE-2015-0088 CVE-2015-0089 CVE-2015-0090 CVE-2015-0091 CVE-2015-0092 CVE-2015-0093
MS15-022, CVE-2015-0085 CVE-2015-0086 CVE-2015-0097 CVE-2015-1633 CVE-2015-1636
MS15-023, CVE-2015-0077 CVE-2015-0078 CVE-2015-0094 CVE-2015-0095
MS15-024, CVE-2015-0080
MS15-025, CVE-2015-0073 CVE-2015-0075
MS15-026, CVE-2015-1628 CVE-2015-1629 CVE-2015-1630 CVE-2015-1631 CVE-2015-1632
MS15-027, CVE-2015-0005
MS15-028, CVE-2015-0084
MS15-029, CVE-2015-0076
MS15-030, CVE-2015-0079
MS15-031, CVE-2015-1637
MS15-032, CVE-2015-1652 CVE-2015-1657 CVE-2015-1659 CVE-2015-1660 CVE-2015-1661 CVE-2015-1662 CVE-2015-1665 CVE-2015-1666 CVE-2015-1667 CVE-2015-1668
MS15-033, CVE-2015-1639 CVE-2015-1641 CVE-2015-1649 CVE-2015-1650 CVE-2015-1651
MS15-034, CVE-2015-1635
MS15-035, CVE-2015-1645
MS15-036, CVE-2015-1640 CVE-2015-1653
MS15-037, CVE-2015-0098
MS15-038, CVE-2015-1643 CVE-2015-1644
MS15-039, CVE-2015-1646
MS15-040, CVE-2015-1638
MS15-041, CVE-2015-1648
MS15-042, CVE-2015-1647
MS15-043, CVE-2015-1658 CVE-2015-1684 CVE-2015-1685 CVE-2015-1686 CVE-2015-1688 CVE-2015-1689 CVE-2015-1691 CVE-2015-1692 CVE-2015-1694 CVE-2015-1703 CVE-2015-1704 CVE-2015-1705 CVE-2015-1706 CVE-2015-1708 CVE-2015-1709 CVE-2015-1710 CVE-2015-1711 CVE-2015-1712 CVE-2015-1713 CVE-2015-1714 CVE-2015-1717 CVE-2015-1718
MS15-044, CVE-2015-1670 CVE-2015-1671
MS15-045, CVE-2015-1675 CVE-2015-1695 CVE-2015-1696 CVE-2015-1697 CVE-2015-1698 CVE-2015-1699
MS15-046, CVE-2015-1682 CVE-2015-1683
MS15-047, CVE-2015-1700
MS15-048, CVE-2015-1672 CVE-2015-1673
MS15-049, CVE-2015-1715
MS15-050, CVE-2015-1702
MS15-051, CVE-2015-1676 CVE-2015-1677 CVE-2015-1678 CVE-2015-1679 CVE-2015-1680 CVE-2015-1701
MS15-052, CVE-2015-1674
MS15-053, CVE-2015-1684 CVE-2015-1686
MS15-054, CVE-2015-1681
MS15-055, CVE-2015-1716
MS15-056, CVE-2015-1687 CVE-2015-1730 CVE-2015-1731 CVE-2015-1732 CVE-2015-1735 CVE-2015-1736 CVE-2015-1737 CVE-2015-1739 CVE-2015-1740 CVE-2015-1741 CVE-2015-1742 CVE-2015-1743 CVE-2015-1744 CVE-2015-1745 CVE-2015-1747 CVE-2015-1748 CVE-2015-1750 CVE-2015-1751 CVE-2015-1752 CVE-2015-1753 CVE-2015-1754 CVE-2015-1755 CVE-2015-1765 CVE-2015-1766
MS15-057, CVE-2015-1728
MS15-058, CVE-2015-1761 CVE-2015-1762 CVE-2015-1763
MS15-059, CVE-2015-1759 CVE-2015-1760 CVE-2015-1770
MS15-060, CVE-2015-1756
MS15-061, CVE-2015-1719 CVE-2015-1720 CVE-2015-1721 CVE-2015-1722 CVE-2015-1723 CVE-2015-1724 CVE-2015-1725 CVE-2015-1726 CVE-2015-1727 CVE-2015-1768 CVE-2015-2360
MS15-062, CVE-2015-1757
MS15-063, CVE-2015-1758
MS15-064, CVE-2015-1764 CVE-2015-1771 CVE-2015-2359
MS15-065, CVE-2015-1729 CVE-2015-1733 CVE-2015-1738 CVE-2015-1767 CVE-2015-2372 CVE-2015-2383 CVE-2015-2384 CVE-2015-2385 CVE-2015-2388 CVE-2015-2389 CVE-2015-2390 CVE-2015-2391 CVE-2015-2397 CVE-2015-2398 CVE-2015-2401 CVE-2015-2402 CVE-2015-2403 CVE-2015-2404 CVE-2015-2406 CVE-2015-2408 CVE-2015-2410 CVE-2015-2411 CVE-2015-2412 CVE-2015-2413 CVE-2015-2414 CVE-2015-2419 CVE-2015-2421 CVE-2015-2422 CVE-2015-2425
MS15-066, CVE-2015-2372
MS15-067, CVE-2015-2373
MS15-068, CVE-2015-2361 CVE-2015-2362
MS15-069, CVE-2015-2368 CVE-2015-2369
MS15-070, CVE-2015-2375 CVE-2015-2376 CVE-2015-2377 CVE-2015-2378 CVE-2015-2379 CVE-2015-2380 CVE-2015-2415 CVE-2015-2424
MS15-071, CVE-2015-2374
MS15-072, CVE-2015-2364
MS15-073, CVE-2015-2363 CVE-2015-2365 CVE-2015-2366 CVE-2015-2367 CVE-2015-2381 CVE-2015-2382
MS15-074, CVE-2015-2371
MS15-075, CVE-2015-2416 CVE-2015-2417
MS15-076, CVE-2015-2370
MS15-077, CVE-2015-2387
MS15-078, CVE-2015-2426
MS15-079, CVE-2015-2423 CVE-2015-2441 CVE-2015-2442 CVE-2015-2443 CVE-2015-2444 CVE-2015-2445 CVE-2015-2446 CVE-2015-2447 CVE-2015-2448 CVE-2015-2449 CVE-2015-2450 CVE-2015-2451 CVE-2015-2452
MS15-080, CVE-2015-2431 CVE-2015-2432 CVE-2015-2433 CVE-2015-2435 CVE-2015-2453 CVE-2015-2454 CVE-2015-2455 CVE-2015-2456 CVE-2015-2458 CVE-2015-2459 CVE-2015-2460 CVE-2015-2461 CVE-2015-2462 CVE-2015-2463 CVE-2015-2464 CVE-2015-2465
MS15-081, CVE-2015-1642 CVE-2015-2423 CVE-2015-2466 CVE-2015-2467 CVE-2015-2468 CVE-2015-2469 CVE-2015-2470 CVE-2015-2477
MS15-082, CVE-2015-2472 CVE-2015-2473
MS15-083, CVE-2015-2474
MS15-084, CVE-2015-2434 CVE-2015-2440 CVE-2015-2471
MS15-085, CVE-2015-1769
MS15-086, CVE-2015-2420
MS15-087, CVE-2015-2475
MS15-088, CVE-2015-2423
MS15-089, CVE-2015-2476
MS15-090, CVE-2015-2428 CVE-2015-2429 CVE-2015-2430
MS15-091, CVE-2015-2441 CVE-2015-2442 CVE-2015-2446 CVE-2015-2449
MS15-092, CVE-2015-2479 CVE-2015-2480 CVE-2015-2481
MS15-093, CVE-2015-2502
MS15-094, CVE-2015-2483 CVE-2015-2484 CVE-2015-2485 CVE-2015-2486 CVE-2015-2487 CVE-2015-2489 CVE-2015-2490 CVE-2015-2491 CVE-2015-2492 CVE-2015-2493 CVE-2015-2494 CVE-2015-2498 CVE-2015-2499 CVE-2015-2500 CVE-2015-2501 CVE-2015-2541 CVE-2015-2542
MS15-095, CVE-2015-2485 CVE-2015-2486 CVE-2015-2494 CVE-2015-2542
MS15-096, CVE-2015-2535
MS15-097, CVE-2015-2506 CVE-2015-2507 CVE-2015-2508 CVE-2015-2510 CVE-2015-2511 CVE-2015-2512 CVE-2015-2517 CVE-2015-2518 CVE-2015-2527 CVE-2015-2529 CVE-2015-2546
MS15-098, CVE-2015-2513 CVE-2015-2514 CVE-2015-2516 CVE-2015-2519 CVE-2015-2530
MS15-099, CVE-2015-2520 CVE-2015-2521 CVE-2015-2522 CVE-2015-2523 CVE-2015-2545
MS15-100, CVE-2015-2509
MS15-101, CVE-2015-2504 CVE-2015-2526
MS15-102, CVE-2015-2524 CVE-2015-2525 CVE-2015-2528
MS15-103, CVE-2015-2505 CVE-2015-2543 CVE-2015-2544
MS15-104, CVE-2015-2531 CVE-2015-2532 CVE-2015-2536
MS15-105, CVE-2015-2534
MS15-106, CVE-2015-2482 CVE-2015-6042 CVE-2015-6044 CVE-2015-6045 CVE-2015-6046 CVE-2015-6047 CVE-2015-6048 CVE-2015-6049 CVE-2015-6050 CVE-2015-6051 CVE-2015-6052 CVE-2015-6053 CVE-2015-6055 CVE-2015-6056 CVE-2015-6059 CVE-2015-6184
MS15-107, CVE-2015-6057 CVE-2015-6058
MS15-108, CVE-2015-2482 CVE-2015-6052 CVE-2015-6055 CVE-2015-6059
MS15-109, CVE-2015-2515 CVE-2015-2548
MS15-110, CVE-2015-2555 CVE-2015-2556 CVE-2015-2557 CVE-2015-2558 CVE-2015-6037 CVE-2015-6039
MS15-111, CVE-2015-2549 CVE-2015-2550 CVE-2015-2552 CVE-2015-2553 CVE-2015-2554
MS15-112, CVE-2015-2427 CVE-2015-6064 CVE-2015-6065 CVE-2015-6066 CVE-2015-6068 CVE-2015-6069 CVE-2015-6070 CVE-2015-6071 CVE-2015-6072 CVE-2015-6073 CVE-2015-6074 CVE-2015-6075 CVE-2015-6076 CVE-2015-6077 CVE-2015-6078 CVE-2015-6079 CVE-2015-6080 CVE-2015-6081 CVE-2015-6082 CVE-2015-6084 CVE-2015-6085 CVE-2015-6086 CVE-2015-6087 CVE-2015-6088 CVE-2015-6089
MS15-113, CVE-2015-6064 CVE-2015-6073 CVE-2015-6078 CVE-2015-6088
MS15-114, CVE-2015-6097
MS15-115, CVE-2015-6100 CVE-2015-6101 CVE-2015-6102 CVE-2015-6103 CVE-2015-6104 CVE-2015-6109 CVE-2015-6113
MS15-116, CVE-2015-2503 CVE-2015-6038 CVE-2015-6091 CVE-2015-6092 CVE-2015-6093 CVE-2015-6094 CVE-2015-6123
MS15-117, CVE-2015-6098
MS15-118, CVE-2015-6096 CVE-2015-6099 CVE-2015-6115
MS15-119, CVE-2015-2478
MS15-120, CVE-2015-6111
MS15-121, CVE-2015-6112
MS15-122, CVE-2015-6095
MS15-123, CVE-2015-6061
MS15-124, CVE-2015-6083 CVE-2015-6134 CVE-2015-6135 CVE-2015-6136 CVE-2015-6138 CVE-2015-6139 CVE-2015-6140 CVE-2015-6141 CVE-2015-6142 CVE-2015-6143 CVE-2015-6144 CVE-2015-6145 CVE-2015-6146 CVE-2015-6147 CVE-2015-6148 CVE-2015-6149 CVE-2015-6150 CVE-2015-6151 CVE-2015-6152 CVE-2015-6153 CVE-2015-6154 CVE-2015-6155 CVE-2015-6156 CVE-2015-6157 CVE-2015-6158 CVE-2015-6159 CVE-2015-6160 CVE-2015-6161 CVE-2015-6162 CVE-2015-6164
MS15-125, CVE-2015-6139 CVE-2015-6140 CVE-2015-6142 CVE-2015-6144 CVE-2015-6148 CVE-2015-6151 CVE-2015-6153 CVE-2015-6154 CVE-2015-6155 CVE-2015-6158 CVE-2015-6159 CVE-2015-6161 CVE-2015-6168 CVE-2015-6169 CVE-2015-6170 CVE-2015-6176
MS15-126, CVE-2015-6135 CVE-2015-6136
MS15-127, CVE-2015-6125
MS15-128, CVE-2015-6106 CVE-2015-6107 CVE-2015-6108
MS15-129, CVE-2015-6114 CVE-2015-6165 CVE-2015-6166
MS15-130, CVE-2015-6130
MS15-131, CVE-2015-6040 CVE-2015-6118 CVE-2015-6122 CVE-2015-6124 CVE-2015-6172 CVE-2015-6177
MS15-132, CVE-2015-6128 CVE-2015-6132 CVE-2015-6133
MS15-133, CVE-2015-6126
MS15-134, CVE-2015-6127 CVE-2015-6131
MS15-135, CVE-2015-6171 CVE-2015-6173 CVE-2015-6174 CVE-2015-6175
MS16-001, CVE-2016-0002 CVE-2016-0005
MS16-002, CVE-2016-0003 CVE-2016-0024
MS16-003, CVE-2016-0002
MS16-004, CVE-2015-6117 CVE-2016-0010 CVE-2016-0011 CVE-2016-0012 CVE-2016-0035
MS16-005, CVE-2016-0008 CVE-2016-0009
MS16-006, CVE-2016-0034
MS16-007, CVE-2016-0014 CVE-2016-0015 CVE-2016-0016 CVE-2016-0018 CVE-2016-0019 CVE-2016-0020
MS16-008, CVE-2016-0006 CVE-2016-0007
MS16-009, CVE-2016-0041 CVE-2016-0059 CVE-2016-0060 CVE-2016-0061 CVE-2016-0062 CVE-2016-0063 CVE-2016-0064 CVE-2016-0067 CVE-2016-0068 CVE-2016-0069 CVE-2016-0071 CVE-2016-0072 CVE-2016-0077
MS16-010, CVE-2016-0029 CVE-2016-0030 CVE-2016-0031 CVE-2016-0032
MS16-011, CVE-2016-0060 CVE-2016-0061 CVE-2016-0062 CVE-2016-0077 CVE-2016-0080 CVE-2016-0084
MS16-012, CVE-2016-0046 CVE-2016-0058
MS16-013, CVE-2016-0038
MS16-014, CVE-2016-0040 CVE-2016-0041 CVE-2016-0042 CVE-2016-0044 CVE-2016-0049
MS16-015, CVE-2016-0022 CVE-2016-0039 CVE-2016-0052 CVE-2016-0053 CVE-2016-0054 CVE-2016-0055 CVE-2016-0056
MS16-016, CVE-2016-0051
MS16-017, CVE-2016-0036
MS16-018, CVE-2016-0048
MS16-019, CVE-2016-0033 CVE-2016-0047
MS16-020, CVE-2016-0037
MS16-021, CVE-2016-0050
MS16-023, CVE-2016-0102 CVE-2016-0103 CVE-2016-0104 CVE-2016-0105 CVE-2016-0106 CVE-2016-0107 CVE-2016-0108 CVE-2016-0109 CVE-2016-0110 CVE-2016-0111 CVE-2016-0112 CVE-2016-0113 CVE-2016-0114
MS16-024, CVE-2016-0102 CVE-2016-0105 CVE-2016-0109 CVE-2016-0110 CVE-2016-0111 CVE-2016-0116 CVE-2016-0123 CVE-2016-0124 CVE-2016-0125 CVE-2016-0129 CVE-2016-0130
MS16-025, CVE-2016-0100
MS16-026, CVE-2016-0120 CVE-2016-0121
MS16-027, CVE-2016-0098 CVE-2016-0101
MS16-028, CVE-2016-0117 CVE-2016-0118
MS16-029, CVE-2016-0021 CVE-2016-0057 CVE-2016-0134
MS16-030, CVE-2016-0091 CVE-2016-0092
MS16-031, CVE-2016-0087
MS16-032, CVE-2016-0099
MS16-033, CVE-2016-0133
MS16-034, CVE-2016-0093 CVE-2016-0094 CVE-2016-0095 CVE-2016-0096
MS16-035, CVE-2016-0132
MS16-037, CVE-2016-0154 CVE-2016-0159 CVE-2016-0160 CVE-2016-0162 CVE-2016-0164 CVE-2016-0166
MS16-038, CVE-2016-0154 CVE-2016-0155 CVE-2016-0156 CVE-2016-0157 CVE-2016-0158 CVE-2016-0161
MS16-039, CVE-2016-0143 CVE-2016-0145 CVE-2016-0165 CVE-2016-0167
MS16-040, CVE-2016-0147
MS16-041, CVE-2016-0148
MS16-042, CVE-2016-0122 CVE-2016-0127 CVE-2016-0136 CVE-2016-0139
MS16-044, CVE-2016-0153
MS16-045, CVE-2016-0088 CVE-2016-0089 CVE-2016-0090
MS16-046, CVE-2016-0135
MS16-047, CVE-2016-0128
MS16-048, CVE-2016-0151
MS16-049, CVE-2016-0150
MS16-050, CVE-2016-1006 CVE-2016-1011 CVE-2016-1012 CVE-2016-1013 CVE-2016-1014 CVE-2016-1015 CVE-2016-1016 CVE-2016-1017 CVE-2016-1018 CVE-2016-1019
MS16-051, CVE-2016-0187 CVE-2016-0188 CVE-2016-0189 CVE-2016-0192 CVE-2016-0194
MS16-052, CVE-2016-0186 CVE-2016-0191 CVE-2016-0192 CVE-2016-0193
MS16-053, CVE-2016-0187 CVE-2016-0189
MS16-054, CVE-2016-0126 CVE-2016-0140 CVE-2016-0183 CVE-2016-0198
MS16-055, CVE-2016-0168 CVE-2016-0169 CVE-2016-0170 CVE-2016-0184 CVE-2016-0195
MS16-056, CVE-2016-0182
MS16-057, CVE-2016-0179
MS16-058, CVE-2016-0152
MS16-059, CVE-2016-0185
MS16-060, CVE-2016-0180
MS16-061, CVE-2016-0178
MS16-062, CVE-2016-0171 CVE-2016-0173 CVE-2016-0174 CVE-2016-0175 CVE-2016-0176 CVE-2016-0196 CVE-2016-0197
